"V1";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V130";"V131";"V132";"V133";"V134";"V135";"V136";"V137";"V138";"V139";"V140";"V141";"V142";"V143";"V144";"V145";"V146";"V147";"V148";"V149";"V150";"V151";"V152";"V153";"V154";"V155";"V156";"V157";"V158";"V159";"V160";"V161";"V162";"V163";"V164";"V165";"V166";"V167";"V168";"V169";"V170";"V171";"V172";"V173";"V174";"V175";"V176";"V177";"V178";"V179";"V180";"V181";"V182";"V183";"V184";"V185";"V186";"V187";"V188";"V189";"V190";"V191";"V192";"V193";"V194";"V195";"V196";"V197";"V198";"V199";"V200";"V201";"V202";"V203";"V204";"V205";"V206";"V207";"V208";"V209";"V210";"V211";"V212";"V213";"V214";"V215";"V216";"V217";"V218";"V219";"V220";"V221";"V222";"V223";"V224";"V225";"V226";"V227";"V228";"V229";"V230";"V231";"V232";"V233";"V234";"V235";"V237";"V238";"V240";"V242";"V243";"V244";"V245";"V246";"V247";"V248";"V249";"V250";"V251";"V252";"V253";"V255";"V256";"V257";"V258";"V259";"V260";"V261";"V263";"V265";"V266";"V267";"V268";"V269";"V270";"V271";"V272";"V273";"V274";"V275";"V276";"V277";"V278";"V279";"V280";"V281";"V282";"V283";"V284";"V285";"V286";"V287";"V288";"V289";"V290";"V291";"V292";"V293";"V294";"V295";"V296";"V298";"V299";"V300";"V301";"V302";"V303";"V304";"V305";"V306";"V307";"V308";"V309";"V310";"V311";"V313";"V314";"V315";"V316";"V317";"V318";"V319";"V320";"V321";"V322";"V323";"V324";"V325";"V326";"V327";"V328";"V329";"V330";"V331";"V332";"V333";"V334";"V335";"V336";"V337";"V338";"V339";"V340";"V341";"V342";"V343";"V344";"V345"
34110;1;0.963316023349762;1;1;2;2;4;4;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1;2;1;2;2;2;8;8;1;1;0;0;1;0;0;5;2;1;1;4;1;1;;;6;6;2;2;2;2;2;2;4;2;7;1;2;2;3;1;1;2;4;4;3;4;4;4;4;4;1;5;1;1;3;0;1;1;1;0;1;0;1;0;0;0;0;3;3;3;3;3;8;2;2;2;10;7;1;2;1;4;1;1;1;2;1;2;4;2;1;3;3;2;3;2;2;1;2;2;3;3;4;3;1;10;7;1;9;2;8;10;10;10;8;4;2;4;1;1;1;6;1;10;10;10;8;3;10;1;7;10;1;7;2;1;1;3;3;1;1;1;1;1;3;7;1;3;3;3;1;1;3;3;3;7;2;2;7;3;1;3;3;1;3;3;3;1;10;2;4;2;2;4;2;1;2;1;4;4;4;4;2;3;4;4;4;3;4;4;3;4;2;2;1;1;1975;1;;1;1;1;1;;;1;4;1;6;6;19;5;1;;2512;;2;;2;1;8;;2341;;1;1;2;2;10;;;10;8;8;1;1;5;1;4;3;1;3;4;3;1;1;;;;;;;;5;0;1;0;1;0;0;0;0;0;1;7;8;9;2;4;1;42;42;3;10;1;5;2;;2;4;4;4;1;1;4;2;25;251;4;2;23;234;1;5;3;0;1;4;1;2
34110;0;0.851720452308655;1;1;2;3;3;4;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;2;1;2;2;2;6;6;0;1;1;0;1;1;0;1;4;2;3;1;1;1;;;7;7;2;1;2;2;2;2;3;4;7;2;2;1;2;1;3;2;4;4;4;4;2;4;2;2;1;5;3;2;5;1;1;0;1;1;1;0;0;0;0;0;0;2;2;2;2;2;7;5;3;3;6;3;1;4;1;4;1;1;1;3;3;2;3;2;2;3;3;2;4;4;2;3;4;3;4;4;4;8;1;8;6;1;9;5;5;10;10;7;5;4;4;4;1;1;1;3;1;10;10;10;10;5;10;5;5;10;1;7;2;1;1;3;3;1;1;3;2;3;5;3;1;4;2;4;4;1;2;4;2;8;2;2;8;3;1;4;1;2;4;3;2;1;7;1;1;5;3;4;1;1;2;1;2;2;5;5;3;3;1;2;2;1;2;2;1;2;1;3;1;1;1984;1;;1;1;6;;1;;1;2;0;4;2;21;6;1;;5222;;1;2;2;1;7;;3322;;2;;2;2;8;;8;;6;8;3;1;1;2;3;2;3;;;;;8;4;;10;4;10;50;1;4;0;1;0;1;0;0;0;0;0;1;7;1;5;2;3;1;32;33;2;11;2;2;2;3;2;3;4;2;1;1;2;5;52;522;3;3;33;332;1;4;5;0;0;4;1;2
34110;1;0.8281090259552;1;1;2;2;2;3;2;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;2;2;2;9;8;1;0;1;0;1;1;0;1;3;1;1;1;1;1;;;5;5;1;1;1;2;2;1;3;5;7;1;1;1;1;2;2;1;4;3;4;4;4;4;3;3;4;5;4;4;3;1;0;0;1;0;1;0;0;0;1;1;0;1;2;3;3;2;7;1;2;2;8;4;1;3;1;2;1;2;1;2;2;2;4;3;2;3;3;3;3;3;2;2;2;3;3;3;3;2;0;10;7;0;10;2;6;10;10;7;6;4;4;4;1;1;1;3;1;9;10;10;9;7;10;1;7;5;1;1;3;2;1;1;1;1;2;1;1;1;3;7;1;3;3;3;3;2;3;3;2;10;4;1;10;2;1;3;1;1;2;2;3;1;10;5;5;5;5;3;1;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1954;1;;1;1;6;;1;;1;0;0;2;63;22;9;3;;133;1;;;;1;8;;2511;;1;2;2;2;10;;;10;2;2;2;2;10;2;2;2;2;4;2;1;3;3;;;;;;;;5;1;1;0;0;1;0;0;;;;;;5;2;4;1;63;63;6;8;2;0;2;;4;4;1;1;3;1;4;1;13;133;4;2;25;251;7;5;3;0;0;3;1;2
34110;0;0.756424009799957;2;1;1;1;3;3;2;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;2;1;2;2;2;7;8;1;1;0;0;1;0;0;2;4;3;2;2;1;1;;;4;4;1;1;1;2;2;2;2;4;6;1;3;2;1;2;1;1;3;3;4;4;4;4;3;2;3;4;1;3;3;1;1;0;0;1;1;0;0;0;1;0;0;4;2;2;2;2;5;7;4;3;4;3;1;3;1;2;2;3;1;2;2;2;3;2;2;2;2;2;3;2;2;2;3;2;3;2;3;7;2;9;9;4;8;8;7;10;10;9;8;3;3;4;1;4;2;3;2;10;9;9;7;1;3;5;1;8;3;6;1;1;2;2;3;1;2;2;2;3;88;88;2;3;2;4;2;2;4;4;3;7;4;5;6;3;1;2;2;2;2;2;4;2;5;2;3;3;2;4;2;2;3;2;4;4;4;4;2;3;4;4;4;2;3;3;4;2;1;2;1;2;1996;1;;1;1;6;;1;;1;0;0;2;21;19;4;2;;9334;;1;1;2;1;4;;3331;;2;;2;2;2;;2;;5;6;1;1;4;1;4;1;3;2;3;1;3;9;7;;8;31;9;10;1;4;0;0;1;0;0;0;1;0;0;1;4;4;7;2;1;2;21;21;1;12;2;0;2;5;1;1;2;2;2;1;1;9;93;933;3;3;33;333;1;1;;0;0;2;1;2
34110;1;0.341135919094086;2;1;2;2;2;4;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;2;2;2;9;10;1;1;1;0;1;0;0;2;5;5;1;2;2;;;1;7;6;3;2;2;2;2;2;4;1;7;1;3;3;2;2;1;2;4;4;4;4;4;4;4;4;5;5;2;3;2;0;1;0;1;1;1;0;0;0;1;0;0;1;1;1;2;2;5;5;4;3;3;5;3;1;1;4;1;1;2;2;2;2;2;3;1;1;2;3;3;2;2;1;3;3;2;2;3;10;1;10;9;1;10;8;2;10;10;10;10;4;2;4;1;1;1;3;1;10;10;10;8;1;9;1;1;8;1;1;2;1;1;2;2;1;2;1;1;1;2;7;1;3;3;3;1;1;3;3;5;9;8;8;3;4;1;4;2;2;4;4;4;2;2;2;4;3;5;4;1;2;2;3;2;1;2;5;3;3;1;1;1;2;2;2;2;2;1;1;2;1;1957;1;;1;1;1;1;;;1;1;1;3;27;25;10;1;;2512;;2;;2;1;11;;2424;;1;1;2;2;10;;10;;6;2;2;2;10;4;3;3;3;3;2;1;4;9;;;;;;;;5;0;1;0;0;0;0;1;0;0;1;3;7;9;5;4;1;60;60;5;8;1;2;2;;5;5;1;2;1;1;4;2;25;251;4;2;24;242;1;5;2;2;1;4;0;2
34110;0;0.690617501735687;3;1;2;2;4;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;5;10;1;1;0;0;1;0;0;1;4;3;1;2;1;1;;;3;4;1;1;2;2;2;2;2;4;6;1;3;3;2;3;2;2;3;3;3;4;3;4;3;3;4;4;2;4;4;1;0;0;1;0;1;0;1;0;1;0;0;3;1;2;3;1;4;6;8;4;5;5;3;1;1;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;8;3;9;9;2;8;8;2;10;10;9;9;3;4;4;1;2;1;2;1;9;9;9;2;2;2;1;2;9;1;1;2;1;1;2;2;1;1;1;1;1;1;7;1;4;4;4;1;1;4;4;4;5;9;6;5;3;1;3;2;3;3;3;4;4;6;2;3;4;2;4;1;2;3;4;1;1;4;4;3;4;4;4;4;1;3;3;3;2;1;2;1;1;1950;1;;1;1;1;1;;;1;0;3;2;61;24;7;5;1;7115;;1;1;2;1;4;;412;;2;;1;2;5;;5;;6;3;2;3;10;2;3;2;2;2;3;1;3;7;7;;9;53;11;4;1;4;1;0;0;0;0;0;1;0;0;1;1;1;11;3;1;1;67;67;6;7;1;3;2;5;3;1;1;2;4;2;2;7;71;711;2;4;41;412;1;2;1;2;1;1;1;2
34110;1;0.732467234134674;2;1;1;1;2;3;2;3;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1;2;1;2;2;2;7;8;0;1;1;1;1;1;0;2;4;2;1;3;1;1;;;5;5;1;1;2;2;2;2;2;5;5;1;2;2;2;2;2;2;4;4;4;4;4;4;4;4;3;5;3;3;3;1;1;0;1;0;1;0;1;0;0;0;0;2;1;2;3;3;8;7;2;2;7;4;1;3;1;3;1;1;1;2;2;2;4;3;2;2;2;2;3;2;2;2;2;2;2;2;3;5;1;10;8;0;10;6;9;10;10;9;9;4;4;4;1;1;2;1;1;9;9;9;7;7;10;1;9;9;1;5;2;2;1;1;3;1;1;1;1;1;5;1;1;3;3;3;2;1;3;3;3;6;2;2;7;3;1;3;3;2;3;3;3;3;8;4;1;4;1;3;2;1;3;3;2;2;2;2;3;3;3;3;3;2;2;3;3;3;2;2;1;1;1970;1;;1;1;1;1;;;1;2;0;4;15;19;7;1;;2423;;1;1;3;1;8;;2341;;2;;2;2;9;;9;;7;6;1;1;3;3;4;3;2;3;4;3;3;6;;;;;;;;3;0;0;1;0;0;1;0;1;0;0;1;6;5;2;4;1;47;47;4;9;1;2;2;;3;4;2;3;1;1;4;2;24;242;4;2;23;234;1;4;5;1;1;3;1;1
34110;0;1.21594476699829;2;1;1;1;1;4;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;2;1;3;1;3;4;3;5;10;1;1;1;1;1;1;0;1;3;2;1;2;1;1;;;7;7;3;2;2;2;2;2;3;1;7;1;2;1;2;1;1;2;2;3;2;2;2;4;2;4;1;4;5;3;5;1;0;0;1;1;1;0;0;0;0;1;0;1;1;2;2;2;1;5;1;1;3;4;1;2;1;2;1;2;1;4;2;2;2;2;3;2;4;2;3;3;4;4;3;3;2;2;2;4;1;5;6;5;3;5;5;6;5;5;5;8;1;3;3;1;5;8;1;2;9;5;10;5;9;1;5;5;1;5;1;2;2;2;3;1;1;2;1;2;5;7;1;3;3;3;2;2;3;4;1;3;1;1;1;1;1;1;1;1;3;3;3;3;5;3;1;4;4;3;1;1;4;2;1;3;4;3;5;5;4;4;3;1;3;5;1;3;2;3;1;2;1960;1;;1;1;1;1;;;1;0;3;2;57;18;3;5;1;5322;;2;;1;1;6;;3257;;1;3;1;2;8;;8;;2;2;1;1;4;4;4;3;4;2;4;1;4;8;6;;10;39;18;6;1;4;1;0;0;0;1;0;0;0;0;1;1;10;10;1;1;2;57;57;5;8;1;3;2;4;1;2;1;1;4;1;2;5;53;532;3;3;32;325;2;4;5;1;0;4;1;2
34110;1;0.798411786556244;2;1;2;2;3;3;2;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;2;1;3;2;3;1;1;7;6;0;0;0;0;1;0;0;3;2;4;3;4;1;1;;;7;7;3;1;1;2;2;1;3;5;7;1;3;2;1;2;2;2;2;3;3;4;4;4;4;2;5;5;2;3;1;1;0;0;1;0;1;0;0;0;1;1;0;2;1;2;1;2;9;5;9;3;5;4;3;4;1;4;1;2;3;2;2;3;3;3;2;3;3;3;3;3;4;3;2;3;3;3;3;3;4;9;5;0;0;8;1;10;10;10;8;4;3;4;1;1;1;1;1;9;8;9;8;6;2;2;1;7;1;7;3;3;3;3;3;1;3;2;1;1;9;4;2;3;3;3;2;2;2;3;4;8;8;9;5;3;2;3;2;2;2;2;4;4;5;3;2;2;3;2;3;1;4;3;2;3;1;1;3;3;3;3;2;2;2;2;2;2;1;2;1;2;1997;1;;1;1;6;;1;;1;0;0;2;20;19;4;2;;5222;;2;;1;1;4;1;7213;;2;;2;2;3;;3;;5;6;3;1;8;4;3;1;2;4;1;2;2;6;;;;;;;;2;0;0;1;0;0;0;1;0;0;1;10;10;88;2;1;2;20;20;1;12;2;0;2;;1;1;2;2;2;7;2;5;52;522;2;7;72;721;2;1;9;2;1;4;1;2
34110;1;0.536954462528229;2;2;1;2;3;4;2;3;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;1;1;2;2;2;8;9;1;0;1;0;1;0;0;3;4;2;2;4;1;1;;;5;4;1;1;2;2;2;2;2;2;6;1;2;2;2;3;3;2;3;3;3;4;4;4;4;3;4;5;2;5;5;1;0;0;1;0;1;0;0;0;1;1;0;2;3;1;2;2;5;2;2;3;6;4;3;4;1;4;1;2;1;2;2;2;3;3;2;3;3;3;3;2;2;4;2;3;3;3;3;7;3;9;8;2;9;2;2;10;9;8;6;3;3;4;2;1;2;1;1;10;10;10;9;2;1;1;6;10;1;9;1;2;1;2;2;1;2;1;1;1;5;7;1;3;3;3;2;1;3;3;2;4;2;2;8;3;1;3;2;2;2;2;4;3;5;2;4;4;4;4;1;1;2;1;2;2;2;4;3;3;3;3;3;2;3;4;3;3;2;3;1;1;1960;1;;1;1;1;1;;;1;0;0;2;57;18;4;1;;4321;;1;1;2;1;6;;5321;;2;;2;2;7;;7;;3;3;1;1;8;3;4;3;2;4;4;3;2;9;;;;;;;;4;0;1;0;1;0;0;0;0;0;1;1;1;10;2;2;1;57;57;5;8;1;0;2;;1;2;1;1;1;1;2;4;43;432;2;5;53;532;1;3;5;1;0;3;1;2
