"V1";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V27";"V28";"V29";"V32";"V35";"V37";"V38";"V39";"V40";"V41";"V42";"V44";"V47";"V48";"V49";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V130";"V131";"V132";"V133";"V134";"V135";"V136";"V137";"V138";"V139";"V140";"V141";"V142";"V143";"V144";"V145";"V146";"V147";"V148";"V149";"V150";"V151";"V152";"V153";"V154";"V155";"V156";"V157";"V159";"V160";"V161";"V162";"V163";"V164";"V165";"V166";"V167";"V168";"V169";"V170";"V171";"V172";"V173";"V174";"V175";"V176";"V177";"V178";"V179";"V180";"V181";"V182";"V183";"V184";"V185";"V186";"V187";"V188";"V189";"V190";"V191";"V192";"V193";"V194";"V195";"V196";"V197";"V198";"V199";"V200";"V201";"V202";"V203";"V204";"V205";"V206";"V207";"V208";"V209";"V210";"V211";"V212";"V213";"V214";"V215";"V216";"V217";"V218";"V219";"V220";"V221";"V222";"V223";"V224";"V225";"V226";"V227";"V228";"V229";"V230";"V231";"V232";"V233";"V234";"V235";"V236";"V237";"V238";"V239";"V240";"V241";"V242";"V243";"V244";"V245";"V246";"V247";"V248";"V249";"V250";"V251";"V252";"V253";"V254";"V255";"V256";"V257";"V258";"V259";"V260";"V261";"V262";"V263";"V264";"V265";"V266";"V267";"V268";"V269";"V270";"V271";"V272";"V273";"V274";"V275";"V276";"V277";"V278";"V279";"V280";"V281";"V282";"V283";"V284";"V285";"V286";"V287";"V288";"V289";"V290";"V291";"V292";"V293";"V294";"V295";"V296";"V297";"V298";"V299";"V300";"V301";"V302";"V303";"V304";"V305";"V306";"V307";"V308";"V309";"V310";"V311";"V312";"V313";"V314";"V315";"V316";"V317";"V319";"V321";"V323";"V324";"V325";"V326";"V327";"V328";"V329";"V330";"V331";"V332";"V333";"V334";"V335";"V336";"V337";"V338";"V339";"V340";"V341";"V342";"V343";"V344";"V345";"V346";"V347";"V348";"V349";"V350";"V351";"V352";"V353";"V354";"V355";"V356";"V357";"V358";"V359";"V360";"V361";"V362";"V363";"V364";"V365";"V366";"V368";"V369";"V370";"V371";"V372";"V373";"V374";"V375";"V376";"V377";"V378";"V379";"V380";"V381";"V382";"V383";"V384";"V385";"V386";"V387";"V388";"V389";"V390";"V391";"V392";"V393";"V394";"V395";"V396";"V397";"V398";"V399";"V400";"V401";"V402";"V403";"V404"
5837;5356;38;100000;0;1999;2;1951;1;1;1;1;1;1;1;4;0;0;0;18;15;1;10;2;1;9;10;1;;2;;1000;;0;3;10;1;;;900000;8;1;1;1;2;2;4;1;2;2;2;2;2;2;;2;;2;;2;;2;;1;1;2;;2;;1;2;2;;2;;2;;2;;2;;2;;2;2;3;4;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;7;8;3;1;1;0;0;1;0;0;0;1;1;0;1;1;1;1;0;0;1;1;7;7;1;1;3;4;3;4;2;2;3;2;2;2;2;;1;2;8;8;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;7;2;1;5;3;5;3;2;3;3;1;3;2;2;1;8;1;2;2;1;1;1;3;2;1;2;1;1;2;1;4;4;4;1;1;1;4;2;3;2;1;2;1;1;1;2;1;2;2;2;2;1;1;1;1;1;1;1;1;3;2;4;10;2;7;4;2;3;2;1;1;3;1;3;1;2;3;2;3;3;3;2;2;1;4;4;3;2;2;1;1;1;2;8;3;4;4;4;1;1;4;4;4;2;1;2;1;1;5;1;3;1;10;10;10;6;2;2;1;3;5;8;1;4;4;3;2;4;2;3;3;3;4;4;4;1;4;2;1;3;8;10;10;1;8;1;1;1;1;3;3;5;5;5;5;4;2;3;3;3;3;2;3;2;2;2;1;5;5;5;5;5;1;3;3;1;3;5;4;1;1;4;1;101;15;1;48;47;5100;1;19;5;99;"nej";7105;2;1;3;2;2;4;3;4;3;4;22;;2;;4;3;16;2;3;;4;;4;4
5837;5356;57;100000;0;1999;1;1969;1;2;1;5;;0;;2;0;0;0;18;15;1;10;2;3;100;10;7;1;1;2;125;;0;2;13;1;;;180000;8;1;1;2;2;1;1;1;1;1;3;1;2;2;;2;;2;;1;2;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;1;2;3;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;10;10;5;5;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;10;100;100;100;3;4;4;4;2;3;1;3;2;2;2;1;2;;;5;5;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;9;1;1;6;2;1;4;2;4;2;1;3;3;1;2;2;3;1;1;1;1;1;1;2;1;3;2;8;2;1;1;4;1;8;3;3;2;3;1;3;2;3;2;1;2;1;1;1;2;2;1;2;2;2;1;1;1;1;3;1;3;3;1;6;1;88;1;3;2;4;1;1;3;1;3;8;8;2;1;1;2;3;3;1;1;2;2;2;1;2;2;1;1;1;1;1;8;10;4;4;4;1;1;3;3;3;1;1;1;1;1;10;1;10;1;10;8;10;88;10;1;1;1;10;3;2;4;2;3;2;3;4;3;3;3;4;4;4;3;4;8;1;3;1;88;88;8;1;4;1;8;1;8;4;5;5;5;5;4;2;4;4;4;4;1;2;2;2;2;1;2;5;2;4;5;1;2;5;2;8;5;1;1;1;8;1;101;15;1;30;29;5100;1;18;6;99;"nej";8364;1;1;2;1;2;2;3;4;;4;1;;0;;2;3;88;8;3;1;4;;2;2
5837;5356;51;100000;0;1999;1;1942;1;2;1;5;;0;;2;0;0;0;17;14;1;9;2;1;5;11;1;;1;4;25;;0;1;88;1;;;600000;8;1;1;1;1;1;2;1;1;1;3;1;2;2;;2;;2;;1;2;2;;2;;2;;1;2;1;2;2;;2;;2;;2;;1;2;2;;2;1;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;10;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;10;9;10;2;2;4;2;4;2;1;2;2;2;2;1;2;;;6;4;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;8;1;1;5;2;1;5;4;4;2;2;3;3;2;3;2;3;1;3;2;2;3;1;3;2;3;2;1;1;1;2;4;1;3;3;2;3;1;1;3;2;2;2;1;2;1;1;1;2;2;2;1;2;2;1;1;8;1;3;2;3;3;1;3;7;8;2;2;2;4;1;2;1;1;3;1;1;1;2;1;2;2;1;2;2;2;1;2;2;2;1;1;2;1;1;2;7;7;4;2;4;1;1;3;3;3;1;1;3;1;1;5;6;4;1;9;10;10;10;10;1;1;6;6;6;2;3;4;3;3;3;3;3;3;3;5;5;5;4;1;2;1;2;1;2;2;2;1;3;1;3;1;1;4;2;2;2;2;2;1;2;1;2;2;1;2;3;2;1;2;;;;;;1;1;2;2;1;1;1;1;2;10;1;101;15;1;57;56;5100;1;5;6;99;"nej";5162;1;1;4;3;2;5;3;3;3;3;24;;2;;4;3;17;2;3;2;2;;3;2
5837;5356;51;100000;0;1999;2;1944;1;1;2;1;1;1;0;2;0;0;0;14;2;3;;2;1;0;2;4;;;;;;0;1;8;1;;;180000;8;8;1;1;2;2;2;2;2;2;3;2;2;1;1;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;1;5;3;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;6;6;3;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;10;100;100;100;1;4;1;2;4;2;1;2;1;2;2;1;2;;;6;6;1;1;1;1;2;2;2;2;1;2;2;2;8;1;2;2;6;1;1;4;2;1;5;1;4;1;1;3;3;1;3;2;3;1;1;1;2;2;1;2;2;3;2;1;2;1;2;4;1;4;4;2;2;2;1;4;1;1;1;1;2;1;2;1;2;1;2;2;2;2;1;1;2;1;1;1;1;2;2;5;5;1;2;5;1;2;3;2;1;1;2;1;1;2;3;3;2;4;3;2;3;2;2;4;3;3;3;2;1;2;2;3;4;4;4;1;4;1;1;3;2;2;1;1;1;1;1;5;2;2;1;6;9;9;8;1;1;1;1;2;10;2;3;3;1;4;2;2;2;4;2;5;5;5;1;3;5;1;1;1;1;1;3;2;5;4;1;1;2;2;3;3;3;3;4;3;1;1;4;1;1;3;2;4;3;1;1;1;4;2;1;2;;;;;;4;1;2;11;1;101;15;1;55;55;5100;1;2;6;99;"nej";8269;2;1;4;2;2;5;1;0;0;1;51;;5;;2;3;8;1;2;;;;3;3
5837;5356;51;100000;0;1999;1;1972;1;2;1;5;;0;;2;0;0;0;19;15;1;10;2;1;4;10;2;;1;3;50;;0;1;88;1;;;8888888;8;1;1;2;1;3;3;2;3;3;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;88;88;2;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;10;10;88;2;4;8;4;4;4;1;2;8;8;2;1;2;;;6;6;2;2;2;8;8;8;8;8;8;8;8;8;8;8;2;8;88;8;2;8;2;1;5;3;5;3;2;8;8;1;8;8;8;1;1;2;8;3;1;3;8;8;1;8;8;3;3;4;8;8;8;8;8;8;8;8;8;8;1;1;2;2;2;1;2;2;2;2;2;2;1;1;3;3;3;3;3;3;3;88;88;10;4;2;8;8;2;1;3;8;2;2;8;8;8;4;3;3;3;3;4;4;4;4;3;3;2;4;3;4;3;4;1;8;8;8;8;8;8;8;8;8;8;1;5;1;1;88;1;88;1;88;88;8;8;1;1;1;1;88;1;1;8;8;8;8;8;8;8;8;8;8;8;8;4;8;8;1;2;4;88;88;8;8;5;5;8;4;3;3;5;4;4;4;8;8;1;4;5;5;8;8;4;8;8;2;;;;;;2;;;;;;1;3;2;11;1;101;15;1;27;26;5100;1;5;5;99;"nej";9302;1;1;1;1;2;2;3;4;3;4;51;;5;;8;2;88;8;8;2;3;;3;3
5837;5356;51;100000;0;1999;2;1978;2;;1;5;;0;;2;0;0;0;20;15;3;;2;1;5;10;1;;2;;40;;0;1;8;1;;;60000;8;2;1;1;1;2;3;2;2;2;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;8;9;4;5;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;2;6;5;7;3;4;4;3;4;5;1;2;2;2;2;1;2;;;4;4;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;7;2;1;5;1;4;2;1;3;3;1;2;2;3;1;1;2;1;3;1;2;2;2;2;2;2;1;4;4;1;4;3;2;1;1;2;2;2;2;2;1;2;1;1;1;2;2;2;1;2;2;1;1;3;1;3;2;3;3;2;6;7;4;6;5;4;1;1;1;2;1;2;1;3;3;2;2;2;3;3;2;2;2;3;3;3;2;2;2;2;8;3;2;6;88;4;3;4;1;2;3;3;3;2;1;6;1;1;2;7;1;1;9;10;8;8;1;1;1;6;6;8;5;3;2;3;2;2;1;1;3;2;5;5;5;1;3;5;1;2;1;5;1;2;2;2;1;3;3;1;4;2;4;4;3;5;3;2;2;4;3;1;2;2;2;2;1;2;3;3;2;4;1;2;4;3;2;4;3;2;2;11;1;147;15;1;21;21;5100;1;18;5;99;"nej";7797;1;1;1;1;1;1;3;0;3;4;51;;5;;1;3;17;2;2;;3;;2;2
5837;5356;38;100000;0;1999;2;1939;1;2;2;3;1;3;0;1;0;0;0;13;2;1;2;2;2;2;0;7;3;2;;50;;0;4;10;1;;;135000;5;3;1;1;2;3;3;2;2;2;3;1;2;1;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;2;4;2;4;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;6;8;1;4;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;2;10;100;100;100;2;4;8;4;2;4;2;1;2;2;2;1;2;;;3;4;1;1;1;1;1;2;8;2;1;1;2;2;2;1;1;2;3;2;2;7;2;1;4;1;4;1;3;8;2;1;3;2;3;1;1;1;8;1;1;3;2;2;2;1;1;1;8;2;3;3;3;3;2;2;2;1;2;1;1;1;2;1;2;1;2;1;2;2;2;2;1;1;2;2;3;3;3;3;2;5;8;5;8;6;4;1;1;1;8;1;2;1;1;1;2;3;3;4;4;2;2;2;2;3;3;2;2;2;2;1;3;2;6;4;8;4;4;2;2;4;3;3;2;1;1;1;1;1;1;3;1;1;10;10;10;5;1;1;1;1;10;1;4;2;2;2;4;2;2;3;3;2;4;4;3;4;8;1;1;1;1;1;3;1;3;3;8;1;1;4;4;4;5;5;8;3;2;3;4;2;1;1;1;3;1;1;3;1;4;5;4;2;;;;;;1;2;1;10;1;147;15;1;60;59;5100;1;10;5;99;"nej";7068;4;1;5;3;2;5;1;1;1;0;41;;4;;1;3;21;3;2;;3;;1;2
5837;5356;49;100000;0;1999;1;1967;1;2;1;5;;0;;2;0;0;0;18;16;1;9;2;1;8;9;1;;2;;2;;0;4;10;1;;;284000;6;1;1;2;1;3;4;2;2;1;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;4;2;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;2;5;8;4;5;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;1;7;9;8;1;4;3;4;1;4;1;3;2;2;2;2;;1;2;8;8;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;7;2;7;5;5;5;5;1;3;3;1;3;2;3;1;1;2;1;3;1;2;3;3;2;1;1;1;1;2;3;3;3;3;1;3;1;4;2;2;2;1;2;1;2;1;2;1;2;1;2;2;1;1;2;2;2;2;2;2;1;7;7;10;1;8;4;1;1;1;1;1;3;1;1;1;3;3;3;3;4;2;2;3;3;4;2;2;2;3;1;1;3;2;5;6;1;1;4;1;1;3;3;3;3;1;5;1;1;5;7;1;1;10;10;10;7;7;2;1;5;1;10;5;4;3;3;2;2;2;2;3;1;5;5;4;3;1;4;2;;2;8;8;1;1;5;2;2;1;1;3;4;4;3;4;5;1;1;2;2;1;2;3;2;3;2;1;2;1;2;2;3;2;;;;;;2;1;2;1;1;147;15;1;32;31;5390;1;20;5;99;"nej";7111;1;1;2;1;2;2;;3;3;3;51;;5;;3;3;18;2;2;;1;;4;4
5837;5356;37;100000;0;1999;1;1978;2;;2;5;;0;;4;0;1;0;18;14;1;10;1;1;12;12;6;;;;;;;;;2;1;5;200000;6;1;1;3;3;3;1;2;2;4;3;1;2;2;;2;;1;2;1;2;2;;2;;2;;2;;2;;2;;1;2;2;;2;;2;;2;;2;1;5;1;4;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;2;8;6;2;5;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;10;100;100;100;3;3;1;3;5;2;2;2;2;2;2;2;;1;5;2;3;1;1;1;1;8;8;8;8;1;1;1;1;1;2;2;1;10;1;1;2;1;10;4;4;4;4;1;3;3;1;1;2;3;2;3;2;2;1;2;3;3;3;1;1;2;2;4;2;2;2;3;2;3;3;3;2;1;1;1;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1;2;8;2;8;5;8;1;6;4;1;1;2;1;1;1;1;8;1;3;3;3;3;3;2;3;3;3;3;3;3;3;2;1;2;3;1;7;88;3;2;3;1;2;2;2;3;1;1;1;1;1;1;3;1;1;1;1;3;3;1;1;1;3;1;5;4;3;4;3;2;2;3;2;3;3;2;4;4;1;2;5;1;2;2;5;5;2;1;4;1;3;1;1;5;1;3;3;3;4;3;2;2;2;2;1;3;2;2;2;1;2;2;4;2;1;1;2;2;2;2;1;1;1;1;10;1;147;15;1;21;20;5100;1;25;5;99;"nej";7055;1;1;1;1;1;1;3;4;2;0;;13;;1;2;1;14;2;2;;;;1;1
5837;5356;50;100000;0;1999;1;1941;1;1;2;1;1;1;0;2;0;0;0;15;3;1;2;2;1;0;0;1;;1;1000;16000;;0;1;4;1;;;1600000;6;1;1;1;2;2;3;2;1;4;2;2;2;2;;1;2;1;2;1;2;2;;2;;2;;2;;2;;2;;1;2;2;;2;;2;;2;;2;1;3;4;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;10;8;4;5;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;9;9;10;2;4;2;1;5;3;1;3;2;2;2;1;2;;;6;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;7;2;1;5;1;4;1;1;3;2;2;3;2;3;2;1;2;2;2;2;2;2;3;1;1;2;2;1;4;2;3;3;2;1;2;1;3;2;1;1;1;2;1;2;1;2;2;2;1;2;2;1;1;2;3;3;3;1;3;1;7;3;4;5;2;1;4;1;2;1;1;2;1;1;3;3;3;2;2;2;2;2;2;2;3;2;2;2;2;1;1;2;3;3;6;4;4;4;1;1;3;3;3;1;1;1;1;1;3;1;1;1;10;10;10;10;1;1;1;3;1;7;1;2;2;2;2;3;3;2;3;3;4;4;4;3;1;5;1;2;1;8;8;3;2;2;1;1;1;1;3;2;3;4;4;3;1;1;2;3;2;1;2;3;3;2;2;;;;;;2;;;;;;1;1;2;2;1;147;15;1;58;58;5100;1;9;6;99;"nej";7010;2;1;4;3;2;5;1;1;0;0;12;;1;;4;1;12;1;2;3;4;;3;1
